givenName,slug,category,url,source,id,licenseName,licenseURL,Created at: 29-06-2024 13:48:01:141
Our Villager Discounts,our-villager-discounts,Villager,https://modrinth.com/mod/our-villager-discounts,https://github.com/Gremlite/MinecraftMod-OurVillagerDiscounts,MIT,MIT License,
Villager in a Bucket,villager-in-a-bucket,Villager,https://modrinth.com/mod/villager-in-a-bucket,https://github.com/JustDoom/VillagerInABucket,MIT,MIT License,
Villager Converting,villager-converting,Villager,https://modrinth.com/mod/villager-converting,https://github.com/Roundaround/mc-fabric-villager-converting,MIT,MIT License,
Retraining,retraining,Villager,https://modrinth.com/mod/retraining,https://github.com/Mrbysco/Retraining,MIT,MIT License,
Cull Less Leaves,cull-less-leaves,Performance,https://modrinth.com/mod/cull-less-leaves,https://github.com/isXander/CullLessLeaves,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Dynamic FPS,dynamic-fps,Performance,https://modrinth.com/mod/dynamic-fps,https://github.com/juliand665/Dynamic-FPS,MIT,MIT License,
Ferrite Core,ferrite-core,Performance,https://modrinth.com/mod/ferrite-core,https://github.com/malte0811/FerriteCore,MIT,MIT License,
Enhanced Block Entities,ebe,Performance,https://modrinth.com/mod/ebe,https://github.com/FoundationGames/EnhancedBlockEntities,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
Sodium,sodium,Performance,https://modrinth.com/mod/sodium,https://github.com/CaffeineMC/sodium-fabric,LicenseRef-Polyform-Shield-1.0.0,,https://github.com/CaffeineMC/sodium-fabric/blob/dev/LICENSE.md
Better Sodium Video Setting,better-sodium-video-settings-button,Performance,https://modrinth.com/mod/better-sodium-video-settings-button,https://github.com/piemanau/better-sodium-video-settings,MIT,MIT License,
Indium,indium,Performance,https://modrinth.com/mod/indium,https://github.com/comp500/Indium,Apache-2.0,Apache License 2.0,
Lithium,lithium,Performance,https://modrinth.com/mod/lithium,https://github.com/caffeinemc/lithium-fabric,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,
